,username,type,to
0,@Mamba_Insider,RT,@Mamba_Insider
1,@veronn296,RT,@abscbnsports
2,@BoaAndre89,RT,@OakProfessorone
3,@mncube,Tweet,@mncube
4,@ChrisHs22,RT,@EHernandezTV
5,@christyceci2,RT,@espn
6,@LakerFacts,Tweet,@LakerFacts
7,@krembishayLife,RT,@PerezHilton
8,@smw232002,RT,@BleacherReport
9,@sandybeach2u,RT,@6abc
10,@obeyer10,RT,@espn
11,@ReynaHarveyB,Tweet,@ReynaHarveyB
12,@PingTheAwesome,RT,@yank1tig
13,@maarkodiaz,RT,@THR
14,@JoshIsAGrizzly,RT,@tysonbeckdesign
15,@Kautionkustoms,RT,@ComplexStyle
16,@fionajudd1,RT,@PerezHilton
17,@SAV_AgE6,RT,@BleacherReport
18,@armandoochoa192,RT,@DwyaneWade
19,@garciakevin809,RT,@Complex
20,@myownperson44,RT,@espn
21,@jumpmanjb_23,RT,@theScore
22,@ANSTYLEdotCOM,Tweet,@ANSTYLEdotCOM
23,@MacenaValle,RT,@BleacherReport
24,@DCurry27,RT,@TylerIAm
25,@realBenjiirby,Tweet,@realBenjiirby
26,@ITSDANKSINATRA,RT,@YanisCapalot
27,@samsburner1,Tweet,@samsburner1
28,@SNAPCHARLOTTE,RT,@TheCrossover
29,@daveria03,RT,@espn
30,@_jesssuussss,RT,@espn
31,@Jloc2424,RT,@timelesssports_
32,@jcbugarin10,RT,@espn
33,@flyguyyamir,RT,@SportsCenter
34,@melia_cole,RT,@IamKrisLondon
35,@AiyuneF,RT,@Cristiano
36,@SpeedyD_94,RT,@timelesssports_
37,@PingTheAwesome,RT,@Nia_Davenport1
38,@HP3ThaDon,RT,@TylerIAm
39,@rouut,Tweet,@rouut
40,@zatch_bella,RT,@TiffiePop85
41,@vjrsamuels,Tweet,@vjrsamuels
42,@i_Abdhool,RT,@LegionHoops
43,@hindisoul,RT,@BleacherReport
44,@s_pacedout,RT,@espn
45,@kobecco328,Tweet,@kobecco328
46,@HahaJacque,RT,@ESPNNBA
47,@jacobsvicki4,RT,@zengreenyoda
48,@ThatPanthersGuy,RT,@SportsCenter
49,@hermitgod,Tweet,@hermitgod
50,@mason_knapp,RT,@Samsonyte_
51,@G0ldie_Mack,RT,@CristalBarzz
52,@hindisoul,RT,@BleacherReport
53,@AJMirandaDiaz,RT,@TheCrossover
54,@Jalia_M,Tweet,@Jalia_M
55,@Bra_Kobe,Tweet,@Bra_Kobe
56,@DeportesEND,Tweet,@DeportesEND
57,@THEEJoeMess,Tweet,@THEEJoeMess
58,@BedoreScott,RT,@cavs
59,@brokelesnar__,RT,@espn
60,@RenganOfCourse,Tweet,@RenganOfCourse
61,@yungcze,RT,@espn
62,@ba11islife24,RT,@Smitgotem_
63,@ismabuj,Tweet,@ismabuj
64,@TrueKingAwesome,RT,@BleacherReport
65,@Big_Jayy2014,RT,@espn
66,@narutokun2607,RT,@espn
67,@UrScootrBro,Tweet,@UrScootrBro
68,@Bejtman,RT,@timelesssports_
69,@ssajaner,Tweet,@ssajaner
70,@JPHouston_,RT,@espn
71,@ElNuevoDia,Tweet,@ElNuevoDia
72,@theyodude,Tweet,@theyodude
73,@ay_ohkaay,RT,@Complex
74,@MySkinIsMySin1,Tweet,@MySkinIsMySin1
75,@badtroysarg,RT,@ESPNLosAngeles
76,@anthony81673688,RT,@LakersReporter
77,@Pharoic_,RT,@timelesssports_
78,@Cavazo8Cristian,RT,@Mamba_Insider
79,@realBenjiirby,Tweet,@realBenjiirby
80,@Buccketss,RT,@espn
81,@LavenderLives,Tweet,@LavenderLives
82,@tissshak,Tweet,@tissshak
83,@jacobsvicki4,RT,@Complex
84,@gcaesar24,RT,@espn
85,@FlaKimble,Tweet,@FlaKimble
86,@playoffcarti,RT,@timelesssports_
87,@JohnnyNBA,Tweet,@JohnnyNBA
88,@Sabii________,RT,@LakersReporter
89,@dgceltics9,RT,@DeeSportsTalk
90,@Victory___Lap,RT,@BleacherReport
91,@f44reggie,Tweet,@f44reggie
92,@CesarCaffroni,RT,@Mamba_Insider
93,@HoneaBadger7,RT,@TheCrossover
94,@HeadBandBron23,Tweet,@HeadBandBron23
95,@CTurnerWR,RT,@SportsCenter
96,@majid_shakur,RT,@tysonbeckdesign
97,@evelyynn99_,RT,@DwyaneWade
98,@dannny32,RT,@LakeShowFamily
99,@Luke_Donn19,RT,@SportsCenter
100,@TheGrigsby,Tweet,@TheGrigsby
101,@Martelin815,RT,@Ballislife
102,@Davidlop_21,RT,@Mamba_Insider
103,@cougars0507,RT,@LakersNation
104,@305athletics,RT,@timelesssports_
105,@InsideOutDG,RT,@enews
106,@AJStein,RT,@CristalBarzz
107,@KingLavi,RT,@Complex
108,@Lupe57926288,RT,@espn
109,@toppshottaglizz,RT,@timelesssports_
110,@Frankie_Wang31,RT,@espn
