,id,created_at,verified,username,text,location,listed_count,follower_count,retweet_count
0,1226976007749591040,2020-02-10 21:07:31,False,Mamba_Insider,"b'RT @Mamba_Insider: ""As basketball players, we\'re really supposed to shut up and dribble, but I\'m glad we did a little bit more than that.""\xe2\x80\xa6'","Los Angeles, CA",203,55637,2715
1,1226976006470279173,2020-02-10 21:07:30,False,veronn296,"b'RT @abscbnsports: \xe2\x80\x9cIn the words of Kobe Bryant, \xe2\x80\x98Mamba out.\xe2\x80\x99\n\nBut in the words of us, \xe2\x80\x98Not forgotten.\xe2\x80\x99\n\nLive on, brother.\xe2\x80\x9d\n\n\xf0\x9f\x8e\xa5: @Lakers\n\nhtt\xe2\x80\xa6'",slovakia,157,9988,1585
2,1226975998270414849,2020-02-10 21:07:28,False,BoaAndre89,b'RT @OakProfessorone: @BoaAndre89 pensieri? Quando penso a Kobe penso a te',"Cesenatico, Emilia Romagna",3,890,1
3,1226975998253715457,2020-02-10 21:07:28,False,mncube,"b'@rain4estwhitaka There\'s more 2 story n his biography ""Showboat: The life of Kobe Bryant""\nhttps://t.co/0KMOl8DIwy'",,7,247,0
4,1226975998031335424,2020-02-10 21:07:28,False,ChrisHs22,"b""RT @EHernandezTV: Vanessa Bryant posted this on her Instagram account. We as fans mourn Kobe, but as his wife and Gianna's mother I continu\xe2\x80\xa6""",LA,42,1673,1
5,1226975995544121344,2020-02-10 21:07:28,False,christyceci2,"b'RT @espn: Four years ago today, Kobe gifted LeBron his game shoes that he signed following his last game in Cleveland.\n\n(via @cavs) https:/\xe2\x80\xa6'",Panamá,8,198,785
6,1226975986937475073,2020-02-10 21:07:26,False,LakerFacts,b'I feel like I\xe2\x80\x99m slowly coming to terms with Kobe and Gigi\xe2\x80\x99s death and then when I see how hurt their loved ones are\xe2\x80\xa6 https://t.co/wGwdxA5XLX',Los Angeles,398,41645,0
7,1226975985637249024,2020-02-10 21:07:25,False,krembishayLife,"b'RT @PerezHilton: Vanessa Bryant speaks out on losing Kobe and Gianna: ""My brain refuses to accept that both Kobe and Gigi are gone."" https:\xe2\x80\xa6'",,1,13,5
8,1226975979165405186,2020-02-10 21:07:24,False,smw232002,"b'RT @BleacherReport: ""This award is dedicated to Kobe Bryant. May we all have a second act as great as his was.""\n\nMatthew Cherry honored Kob\xe2\x80\xa6'",,3,64,3697
9,1226975977194041346,2020-02-10 21:07:23,False,sandybeach2u,"b'RT @6abc: In the heartbreaking post, Vanessa said mourning the loss of the Lakers legend and young basketball star is a ""nightmare."" https:\xe2\x80\xa6'","ÜT: 42.185332,-97.499237",8,137,3
10,1226975970340560896,2020-02-10 21:07:22,False,obeyer10,"b'RT @espn: Four years ago today, Kobe gifted LeBron his game shoes that he signed following his last game in Cleveland.\n\n(via @cavs) https:/\xe2\x80\xa6'","Hillsborough, NJ",9,288,786
11,1226975969791094784,2020-02-10 21:07:21,False,ReynaHarveyB,b'My biggest take away over the past few weeks is just like this gentleman said #Kobe has brought so many of us toget\xe2\x80\xa6 https://t.co/5jDYQEpGmY',"Bakersfield, CA",10,874,0
12,1226975963805818885,2020-02-10 21:07:20,False,PingTheAwesome,"b'RT @yank1tig: Screw you @SnoopDogg.\nIf it was your daughter, would it matter how long ago it happened? #speaktruth #ibelieveher #IStandWith\xe2\x80\xa6'",United States,1,87,3
13,1226975963671605249,2020-02-10 21:07:20,False,maarkodiaz,b'RT @THR: Spike Lee pays tribute to Kobe Bryant with his #Oscars red carpet look https://t.co/BYOjau0Mir https://t.co/PQ1xxI1kzY',,0,31,2227
14,1226975957426360320,2020-02-10 21:07:19,False,JoshIsAGrizzly,b'RT @tysonbeckdesign: Spent my week taking down this official Kobe Bryant artwork I made from 102 stores and ads illegally selling it. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6',"Tulare, CA",5,397,1648
15,1226975953450098689,2020-02-10 21:07:18,False,Kautionkustoms,b'RT @ComplexStyle: Spike Lee honors his friend Kobe Bryant at the #Oscars \xf0\x9f\x92\x9c\xf0\x9f\x92\x9b https://t.co/s2LCnUADDz',"Paterson, NJ",0,43,628
16,1226975950728048640,2020-02-10 21:07:17,False,fionajudd1,"b'RT @PerezHilton: Vanessa Bryant speaks out on losing Kobe and Gianna: ""My brain refuses to accept that both Kobe and Gigi are gone."" https:\xe2\x80\xa6'",wellingborough,1,55,5
17,1226975950585368579,2020-02-10 21:07:17,False,SAV_AgE6,"b'RT @BleacherReport: 2 years ago, Kobe won the Oscar for his short film ""Dear Basketball\xe2\x80\x9d\n\nA legendary second act \xf0\x9f\x92\x9c\xf0\x9f\x92\x9b https://t.co/Gq9GrAfwrn'","Houston, TX",7,897,9811
18,1226975950363144193,2020-02-10 21:07:17,False,armandoochoa192,b'RT @DwyaneWade: \xe2\x80\x9c Haters are a good problem to have. Nobody hates the good ones. They hate the great ones\xe2\x80\x9d. ~Kobe',"Richmond, CA",1,371,56878
