tweetsCount,followers,following,likes,lists,name,twitterProfile,bio,handle,location,website,joinDate,protectedAccount,followback,query,timestamp,error
4238,47,615,4238,1,Michael Santos,https://twitter.com/msantos824,using twitter for information,@msantos824,,,2013-09-24T12:51:04.000Z,,,msantos824,2020-02-07T22:48:42.901Z,
74400,2909,1027,74400,8,9,https://twitter.com/jenvrgs,kind of a big deallll,@jenvrgs,"Maryland, USA",https://instagram.com/jennvrgs,2012-07-07T04:16:02.000Z,,,jenvrgs,2020-02-07T22:48:44.230Z,
7683,121,767,7683,7,hungrrypanda,https://twitter.com/hungrrypanda,"California girl doing a little East Coast Living.. Sports Lover, Forever Hungry, Panda",@hungrrypanda,Boston,,2011-04-09T15:15:21.000Z,,,hungrrypanda,2020-02-07T22:48:45.590Z,
3923,54,208,3923,,Alessandra,https://twitter.com/alessaJBiebs1,Shaking hands with the dark parts øf my thøughts.,@alessaJBiebs1,,,2018-07-19T21:27:37.000Z,,,alessaJBiebs1,2020-02-07T22:48:46.765Z,
345,86,206,345,2,Julkee,https://twitter.com/Julkee,Escuche la ciudad respirando. Listen the city breathes :),@Julkee,Puebla,,2009-04-25T06:13:53.000Z,,,Julkee,2020-02-07T22:48:47.907Z,
2128,2568,4861,2128,82,Rob Gillies,https://twitter.com/rgilliescanada,Chief of Bureau for The Associated Press in Canada.,@rgilliescanada,Toronto,http://ap.org,2009-04-06T15:25:21.000Z,,,rgilliescanada,2020-02-07T22:48:49.037Z,
9434,2470,1562,9434,8,𝚃𝚊𝚢𝚢🤧#BrownOut,https://twitter.com/TayyWRLD,@Eagles(0-0)•@Sixers(31-20)•Fan Account•#PhilaUnite•————————————————@ZhaireWRLD•@Three_Cone•@CullerSports•@NinjaScottSZN•@BowlBol•@GoatedJoelV2,@TayyWRLD,Philly🦅,,2018-11-18T04:12:50.000Z,,,TayyWRLD,2020-02-07T22:48:50.218Z,
37593,656,593,37593,5,PHONYLAND STAN ACCOUNT,https://twitter.com/alithearabian,"I met you in the past, but I forgot to ask your name.   KB24 Forever.",@alithearabian,Beach Goth,,2012-06-22T23:21:05.000Z,,,alithearabian,2020-02-07T22:48:51.392Z,
40561,343,623,40561,1,Salaheddin,https://twitter.com/wicked_soull,"It's hard to breathe when memories refuse to fade. 
             XO til we overdose",@wicked_soull,,,2015-09-14T12:52:44.000Z,,,wicked_soull,2020-02-07T22:48:52.532Z,
370,8,87,370,,Loyd Omar 👊👊👊,https://twitter.com/SimbulanO,,@SimbulanO,"Winnipeg, Manitoba",,2013-12-19T14:31:34.000Z,,,SimbulanO,2020-02-07T22:48:54.275Z,
10831,68,236,10831,1,Michael GoldenPine,https://twitter.com/MGoldenpine,"Sings too loud, too often - but at least on key.",@MGoldenpine,NoVA,,2009-06-17T13:41:33.000Z,,,MGoldenpine,2020-02-07T22:48:55.464Z,
,,,,,,,,,,,,,,127PCY_,,Can't open URL: https://twitter.com/127PCY_
3292,273,105,3292,,xChaf__,https://twitter.com/xChaf__,@DTF_eSports | LB | 🇮🇹🇲🇦,@xChaf__,,,2017-07-02T11:03:25.000Z,,,xChaf__,2020-02-07T22:49:04.762Z,
21,5,7,21,,Michael Leaton,https://twitter.com/michael_leaton,,@michael_leaton,"Kent, WA",,2017-12-11T16:18:24.000Z,,,michael_leaton,2020-02-07T22:49:05.947Z,
3921,126,253,3921,,boss2thugz,https://twitter.com/boss2thugz,"American Patriot, Vet-USMC.2A supporter. proud family man, loyalty above all else. “Those who follow the crowd will never be followed by it”.",@boss2thugz,United States,,2019-01-23T19:46:50.000Z,,,boss2thugz,2020-02-07T22:49:07.116Z,
49199,616,3412,49199,14,Kevin,https://twitter.com/Anusien,"I throw discs and help people get jobs. Post about technology, politics, equality, Magic: the Gathering. He/him",@Anusien,"Austin, TX",,2008-12-01T16:14:39.000Z,,,Anusien,2020-02-07T22:49:08.247Z,
39268,336,222,39268,1,G 🦍🏁,https://twitter.com/GsealsIII,Dont Tell me the sky is the limit when there are foot prints on the moon.,@GsealsIII,"Dayton, OH",,2014-08-10T22:11:21.000Z,,,GsealsIII,2020-02-07T22:49:09.413Z,
721,399,2410,721,1,Steven Andrews,https://twitter.com/StevenFondy,Snapchat: StevenFondy. Full-Time Cart Runner at Festival Foods been at Festival Foods for 11 years now.,@StevenFondy,"Fond du Lac, Wisconsin",https://www.facebook.com/StevenFondyy,2009-06-16T23:40:12.000Z,,,StevenFondy,2020-02-07T22:49:10.583Z,
