,username,to,text,date,retweets,favorites,mentions,hashtags,geo,new date
1219046783571124224,DavidShamu,ImperialMed, #coronavirus ,2020-01-19 23:59:36+00:00,0,0,,#coronavirus,,2020-1-19
1219046366808141824,nonamehkcitizen,,2020-01-20 02:51:59 Health Commission of Guangdong Province announced: 2 confirmed on #WuhanPneumonia #coronavirus (#2019-nCoV) 広東省健委は発表しました： #武漢肺炎 #コロナウイルス(＃2019-nCoV)1名は初確認,2020-01-19 23:57:57+00:00,1,0,,#WuhanPneumonia #coronavirus,,2020-1-19
1219045773997821952,drabricia_cerrp,,Los #coronavirus causan desde gripa hasta enfermedad grave. Para reducir riesgo: Higiene de manos Tapa boca-nariz al toser-estornudar Cocina bien carne y huevos Evita contacto cercano con personas con enfermedad respiratoria aguda Evitar contacto con animales de granja ,2020-01-19 23:55:35+00:00,0,2,,#coronavirus,,2020-1-19
1219044243731337216,twosidedice,,"A scientific team announced that a new-type coronavirus, tentatively named by WHO as the 2019-new coronavirus (2019-nCoV), had caused this #coronavirus outbreak in #Wuhan https://www.ncbi.nlm.nih.gov/pubmed/31950516",2020-01-19 23:49:31+00:00,0,0,,#coronavirus #Wuhan,,2020-1-19
1219044039565225985,sempreguerra,W7VOA,"O #coronavirus #Wuhan provocou 136 novos casos neste fim de semana na China, segundo autoridades",2020-01-19 23:48:42+00:00,0,1,,#coronavirus #Wuhan,,2020-1-19
1219043959294562305,W7VOA,,Beijing Daxing Health Commission confirms 2 #coronavirus cases; Guangdong Province confirms 1 case. #China,2020-01-19 23:48:23+00:00,7,12,,#coronavirus #China,,2020-1-19
1219043720991051776,ChoZynWordZ,W7VOA,"Meanwhile China is on the brink of a virus outbreak #coronavirus with travel, how long before it jumps continents ",2020-01-19 23:47:26+00:00,0,0,,#coronavirus,,2020-1-19
1219043258766000128,globaltimesnews,,"#Breaking: 136 more people were confirmed to have been infected by the new type of #coronavirus from Saturday to Sunday—59 cases reported on Saturday and 77 on Sunday, and 1 died on Saturday: Wuhan health authority #Wuhanpneumonia",2020-01-19 23:45:36+00:00,55,48,,#Breaking #coronavirus #Wuhanpneumonia,,2020-1-19
1219043222766247937,BiotechInvsts,,New Outbreak of a SARS-Related Coronavirus in China: https://biotech-investments.com #coronaviruses #coronavirus #China #SARS2 #ChineseNewYear #ChineseNewYear2020 #ChinesePneumonia #Infection #China #healthcare,2020-01-19 23:45:27+00:00,0,0,,#coronaviruses #coronavirus #China #SARS2 #ChineseNewYear #ChineseNewYear2020 #ChinesePneumonia #Infection #China #healthcare,,2020-1-19
1219043107842379777,ultimahoramiami,,China registra cuatro nuevos brotes de neumonía viral #china #coronavirus #neumoniaviral,2020-01-19 23:45:00+00:00,2,0,,#china #coronavirus #neumoniaviral,,2020-1-19
1219042832540979201,Potrblog,,"Interesting that #Dogs / #DogMeat are left out as the probable source of the #SARS like #coronavirus outbreak spreading from #China. Would be wise to ban ""rescue"" dog imports into the American ""adoption"" market from Asia #rescuedog",2020-01-19 23:43:54+00:00,2,3,,#Dogs #DogMeat #SARS #coronavirus #China #rescuedog,,2020-1-19
1219042741834874882,dw_espanol,,#China reportó más casos de pacientes con misterioso brote de #coronavirus El británico @imperialcollege @MRC_Outbreak advirtió que el número de casos probablemente sea más cercano a 1.700 que a los 62 identificados oficialmente (ama),2020-01-19 23:43:33+00:00,89,55,@imperialcollege @MRC_Outbreak,#China #coronavirus,,2020-1-19
