,username,to,text,date,retweets,favorites,mentions,hashtags,geo
1085989633471569920,npokorzynski,,This is awesome - over 500 host proteins in the coronavirus replication/transcription complex microenvironment! Determination of host proteins composing the microenvironment of coronavirus replicase complexes by proximity-labeling ,2019-01-17 19:57:59+00:00,0,0,,,
1085900986625867777,FluTrackers,,WHO: Middle East respiratory syndrome coronavirus (MERS-CoV) – Saudi Arabia (16 January 2019) https://flutrackers.com/forum/forum/novel-coronavirus-ncov-mers-2012-2014/novel-coronavirus-who-chp-wpro-ecdc-oie-fao-moa-reports-and-updates/805392-who-middle-east-respiratory-syndrome-coronavirus-mers-cov-%C2%96-saudi-arabia-16-january-2019 h/t Shiloh,2019-01-17 14:05:44+00:00,0,0,,,
1085833427549511680,RazasPorcinas,,Descubren un nuevo coronavirus llamado Síndrome de Diarrea Aguda Porcina (SADS-CoV). - https://razasporcinas.com/?p=178907&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter,2019-01-17 09:37:17+00:00,0,0,,,
1085810148512124928,JohnJasonFallow,,Disease outbreak news from the WHO: Middle East respiratory syndrome coronavirus (MERS-CoV) – Saudi Arabia ,2019-01-17 08:04:47+00:00,0,0,,,
1085809112997347328,RameshSuno,,Disease outbreak news from the WHO: Middle East respiratory syndrome coronavirus (MERS-CoV) – Saudi Arabia http://bit.ly/2FA9AWW,2019-01-17 08:00:40+00:00,0,0,,,
1085776099450056704,HauraNiki,,Foto Yiyi pas masih 3 bulan. Sekarang 7 bulan dan divonis kena FIP basah (corona virus) di mana perutnya akan makin gede berisi cairan dan akan terus membesar sampe Yiyi gabisa nafas. Belum ada obat buat penyakit ini jadi Yiyi bisa mati kapan aja tapi sekarang Yiyi is happy ,2019-01-17 05:49:29+00:00,0,2,,,
1085716158660042752,weowsy,accpchest,"Brutal. I’ll be honest though, I’ve seen as much (if not more) of a brutal coronavirus in the #icu as I have of #influenza",2019-01-17 01:51:18+00:00,0,1,,#icu #influenza,
1085715574754140162,PisaniMAP,ChrisCarrollMD,#pulmcc different story with adults in our ICU in CT--several cases and with combination infections of flu and mycoplasma or flu and coronavirus,2019-01-17 01:48:59+00:00,1,3,,#pulmcc,
1086399244414656513,thelonevirologi,,Determination of host proteins composing the microenvironment of #coronavirus replicase complexes by proximity-labeling ,2019-01-18 23:05:38+00:00,0,0,,#coronavirus,
1086278647541948416,escarafunxa,,Corona virus ,2019-01-18 15:06:26+00:00,0,0,,,
1086267729097748480,JavierPazEsq,,"Aeropuertos como focos de infección: #Gripe, #VRS, #Adenovirus, #Rinovirus y #Coronavirus en 10 % de las superficies analizadas ¿Dónde hay más? Curioso: no el baño, sino la bandeja de plástico de la zona de seguridad Importante: #HigieneDeManos frecuente",2019-01-18 14:23:03+00:00,5,9,,#Gripe #VRS #Adenovirus #Rinovirus #Coronavirus #HigieneDeManos,
1086248092716789761,talk_about_sci,,"Gallego IB, Hislope RT, Wolfer RA, Side XM, Funicello JG, et al. Indirect whole genome sequencing with MERS coronavirus Aristotelianism. Rev Circ Odontol Cordoba. 1943;8:1388-1435.",2019-01-18 13:05:01+00:00,0,0,,,
1086233240178839553,NatGeoFrance,,"En 2003, la Chine était frappée par une épidémie de SRAS, un coronavirus mortel. Le gouvernement chinois ayant refusé d'admettre l'épidémie, celle-ci s'est propagée mondialement via le trafic aérien. ",2019-01-18 12:06:00+00:00,25,26,,,
1086067785107685377,barnes_weise,,WHO | Middle East respiratory syndrome coronavirus (MERS-CoV) – Saudi Arabia ,2019-01-18 01:08:32+00:00,0,0,,,
1086745949656047616,eNewsParkForest,,Coronavirus Knocked Me Down. It's Good To Be Back | Queen of Hearts at Marian Catholic | Weather for 01/19/2019 - ,2019-01-19 22:03:19+00:00,0,0,,,
1086738659221614592,eNewsParkForest,,Coronavirus Knocked Me Down. It’s Good To Be Back. http://bit.ly/2CvEAnS,2019-01-19 21:34:21+00:00,0,0,,,
1086636341197193217,DogHealthGuides,,Did you know that Canine coronavirus (CCoV) is a highly contagious disease in dogs that causes inflammation in a dogs intestinal tract (called enteritis)? The disease is spread when a healthy dog's mouth comes in contact... ,2019-01-19 14:47:47+00:00,0,0,,,
1086626928998694914,realBioMassSpec,,Characterization of the Lipidomic Profile of Human Coronavirus-Infected Cells: Implications for Lipid Metabolism Remodeling upon Coronavirus Replication #Viruses #MassSpec http://www.mdpi.com/1999-4915/11/1/73,2019-01-19 14:10:23+00:00,0,0,,#Viruses #MassSpec,
1086611531092185088,nonacytlem,,-FIP is a mutation of a common bacterial virus called coronavirus most prominent in young cats.,2019-01-19 13:09:11+00:00,0,3,,,
1086534296612073472,RameshSuno,,Disease outbreak news from the WHO: Middle East respiratory syndrome coronavirus (MERS-CoV) – Saudi Arabia ,2019-01-19 08:02:17+00:00,0,0,,,
1086527904912011264,RazasPorcinas,,Descubren un nuevo coronavirus llamado Síndrome de Diarrea Aguda Porcina (SADS-CoV). - https://razasporcinas.com/?p=178907&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1547883413,2019-01-19 07:36:53+00:00,0,1,,,
1086452448829464576,RazasPorcinas,,Descubren un nuevo coronavirus llamado Síndrome de Diarrea Aguda Porcina (SADS-CoV). - https://razasporcinas.com/?p=178907&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1547865423,2019-01-19 02:37:03+00:00,0,0,,,
1087115881644085248,shawnxfivesos,nahuixolin,"Sí, sólo ese y recuerdo que nos dijeron que el adenovirus es primero que el coronavirus y rhinovirus",2019-01-20 22:33:18+00:00,0,1,,,
1087056641541849090,RazasPorcinas,,¿La enfermedad porcina coronavirus en Arabia Saudita? - https://razasporcinas.com/?p=6147&amp;utm_source=SocialAutoPoster&amp;utm_medium=Social&amp;utm_campaign=Twitter&amp;wpwautoposter=1548009473,2019-01-20 18:37:54+00:00,0,1,,,
1087033485863178240,talk_about_sci,,"Santos A, Alo A. New Zealand researchers explore how to implement uncontrolled MERS coronavirus. Md Hist. 1941;10:1588-1646.",2019-01-20 17:05:53+00:00,0,0,,,
1086942371688927232,eNewsParkForest,,DeLuca on Bipartisanship | Cubs Take Russell | I'm Back From Coronavirus OC43 | Weather for 01/20/2019 - http://eepurl.com/geE1-j,2019-01-20 11:03:50+00:00,0,0,,,
1086912694068883457,Loire1,GrouciDjamila,#PANDEMIC POTENTIAL #CORONA/RABIES VIRUS #MUTATING CAUSING #EPIDEMIC DISEASES! #SARS FROM.#CHINESE EATING #CIVETCAT! ANIMALS NOT #CREATED FOR FOOD..BAN #DOG &amp; #CATMEAT WITH #TORTURE #BOIL/BURN/SKIN ALIVE! #TORTURE ENHANCES #TASTE! BAN #YULINDOGFESTIVAL!,2019-01-20 09:05:54+00:00,23,8,,#PANDEMIC #CORONA #MUTATING #EPIDEMIC #SARS #CHINESE #CIVETCAT #CREATED #DOG #CATMEAT #TORTURE #BOIL #TORTURE #TASTE #YULINDOGFESTIVAL,
1086870647819644928,FluTrackers,,"Saudi Arabia - New coronavirus MERS cases: 40 -year-old male in Riyadh city, Riyadh https://flutrackers.com/forum/forum/novel-coronavirus-ncov-mers-2012-2014/saudi-arabia-coronavirus/805304-saudi-arabia-2019-mers-epiwk-3?p=805677#post805677 h/t Shiloh",2019-01-20 06:18:50+00:00,0,0,,,
1087466734767013888,MrHeisemberg,,A varios jugadores de @Nacional estaría faltando su Carne Sanitario 1)Vacuna de Parvovirus y Coronavirus canina 2)Vacuna de Hepatitis Infecciosa Canina 3)Vacuna contra Distemper(Joven Edad) Desparasitaciones y Tomas al día(se le venció la que le dio el Cebolla) Collar pulguicida.,2019-01-21 21:47:28+00:00,1,5,@Nacional,,
1087447075300757505,forosdesalud,,Coronavirus causante del síndrome respiratorio de Oriente Medio (MERS-CoV) — Arabia Saudita http://bit.ly/2RZNOCq,2019-01-21 20:29:21+00:00,0,0,,,
1087407604534521858,D3vils_Den_Game,shayleybourget,"Hang in there man, I'm not feeling too well either i caught coronavirus and bronchitis. I know how you feel man, hang in there shayley never give up.",2019-01-21 17:52:30+00:00,0,1,,,
1087354351629320192,BriaFund,,"Feline Infectious Peritonitis (FIP) is a deadly virus that tends to attack animals that had Feline Coronavirus, a… | Anatomy and Physiology Spring 2016 | Pinterest | Cats, Pets and Pet dogs ",2019-01-21 14:20:54+00:00,0,1,,,
